epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,70.4397,1.0698,1.39799,0.01409,0.82919,0.77509,0.84494,0.50884,1.50278,2.55516,0.03123,0.000848969,0.000848969,0.000848969
43,71.8841,1.07342,1.49587,0.01592,0.80287,0.75926,0.85311,0.51202,1.57438,2.54606,0.0341,0.000834822,0.000834822,0.000834822
44,73.4588,1.07866,1.39572,0.01687,0.75355,0.76599,0.87756,0.51317,1.59667,2.49423,0.03533,0.000820675,0.000820675,0.000820675
45,75.0222,1.14111,1.45723,0.01674,0.72493,0.81212,0.82887,0.49305,1.58822,2.47068,0.03432,0.000806528,0.000806528,0.000806528
46,76.6738,1.06908,1.42346,0.01591,0.86511,0.78469,0.83206,0.51624,1.48404,2.4691,0.03002,0.00079238,0.00079238,0.00079238
47,78.1666,1.10002,1.43356,0.01693,0.69287,0.78199,0.76956,0.50014,1.43567,2.52031,0.02812,0.000778233,0.000778233,0.000778233
48,79.5983,1.12044,1.47119,0.01655,0.63107,0.67324,0.76622,0.48958,1.44422,2.57052,0.028,0.000764086,0.000764086,0.000764086
49,80.8872,1.13415,1.49257,0.01633,0.73146,0.70643,0.75343,0.49828,1.46842,2.54278,0.02816,0.000749939,0.000749939,0.000749939
50,82.1256,1.04251,1.34399,0.01412,0.66027,0.75129,0.7444,0.49164,1.35494,2.43506,0.02473,0.000735792,0.000735792,0.000735792
51,83.5534,1.10253,1.43743,0.01568,0.67638,0.7909,0.78302,0.52627,1.313,2.29794,0.02323,0.000721645,0.000721645,0.000721645
52,84.8091,1.04081,1.37182,0.01444,0.67365,0.84652,0.80451,0.53574,1.20645,2.24427,0.02041,0.000707498,0.000707498,0.000707498
53,86.0993,0.98731,1.3003,0.01392,0.70937,0.87273,0.81475,0.52217,1.24997,2.21934,0.02276,0.000693351,0.000693351,0.000693351
54,87.3368,1.08969,1.36015,0.01584,0.72645,0.78791,0.8171,0.52733,1.26569,2.1785,0.02359,0.000679204,0.000679204,0.000679204
55,88.6728,1.07298,1.23865,0.01431,0.73625,0.78675,0.81214,0.52127,1.21863,2.19693,0.02151,0.000665057,0.000665057,0.000665057
56,90.0267,1.07444,1.37314,0.01535,0.6859,0.72077,0.77523,0.49513,1.21383,2.30273,0.02144,0.000650909,0.000650909,0.000650909
57,91.2789,1.03598,1.19012,0.01404,0.84673,0.77262,0.84383,0.53908,1.23883,2.2652,0.02249,0.000636762,0.000636762,0.000636762
58,92.6648,1.01136,1.3091,0.01537,0.70824,0.74384,0.82107,0.52387,1.28581,2.21508,0.02363,0.000622615,0.000622615,0.000622615
