epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,161.019,1.13653,0.75285,0.01748,0.91191,0.81152,0.84964,0.54473,1.3443,0.90946,0.02603,0.000848969,0.000848969,0.000848969
43,164.754,1.17821,0.76104,0.01718,0.68449,0.82875,0.79037,0.49712,1.34048,0.87085,0.02728,0.000834822,0.000834822,0.000834822
44,168.338,1.16613,0.72186,0.0179,0.92264,0.75625,0.87696,0.57731,1.35145,0.74921,0.02588,0.000820675,0.000820675,0.000820675
45,172.081,1.0864,0.70923,0.0144,0.84772,0.85521,0.88207,0.56918,1.38469,0.85841,0.02718,0.000806528,0.000806528,0.000806528
46,175.742,1.07048,0.72576,0.01658,0.82412,0.75989,0.79778,0.49699,1.44598,0.99834,0.03145,0.00079238,0.00079238,0.00079238
47,179.394,1.1081,0.68122,0.01699,0.7821,0.82308,0.83018,0.46911,1.64698,0.93379,0.03701,0.000778233,0.000778233,0.000778233
48,182.943,1.11639,0.6337,0.01773,0.95997,0.6941,0.82766,0.48717,1.65799,1.04896,0.03464,0.000764086,0.000764086,0.000764086
49,186.546,1.14305,0.6848,0.01838,0.97038,0.66622,0.82622,0.49159,1.64169,1.07031,0.03504,0.000749939,0.000749939,0.000749939
50,190.233,1.13734,0.6927,0.01687,0.91353,0.79755,0.85677,0.51623,1.55878,0.90646,0.0337,0.000735792,0.000735792,0.000735792
51,194.097,1.05184,0.65657,0.01562,0.87658,0.86115,0.89025,0.55536,1.36555,0.84127,0.02717,0.000721645,0.000721645,0.000721645
52,197.71,1.03548,0.57143,0.01436,0.75906,0.88205,0.91737,0.57206,1.3913,0.99115,0.0266,0.000707498,0.000707498,0.000707498
53,201.289,1.02142,0.57361,0.01452,0.78963,0.81538,0.89888,0.54359,1.37088,0.91172,0.02584,0.000693351,0.000693351,0.000693351
54,204.871,1.01344,0.62369,0.01499,0.82939,0.73013,0.82432,0.57575,1.25402,0.90286,0.02293,0.000679204,0.000679204,0.000679204
55,208.447,1.01706,0.60903,0.01511,0.87544,0.79939,0.83761,0.59437,1.2404,0.89309,0.02343,0.000665057,0.000665057,0.000665057
56,212.181,1.05978,0.68614,0.01692,0.9984,0.65607,0.81016,0.55106,1.23053,0.94119,0.02411,0.000650909,0.000650909,0.000650909
57,215.75,1.06045,0.61517,0.01653,0.96605,0.80205,0.86337,0.57417,1.25417,0.95061,0.02592,0.000636762,0.000636762,0.000636762
58,219.36,0.96444,0.63295,0.01453,0.92671,0.81588,0.87947,0.57825,1.23362,0.87252,0.0233,0.000622615,0.000622615,0.000622615
59,223.019,0.92048,0.54866,0.01323,0.92967,0.83499,0.89887,0.61718,1.24736,0.76092,0.02435,0.000608468,0.000608468,0.000608468
60,226.615,0.96019,0.55816,0.0143,0.88544,0.85445,0.86864,0.58951,1.27827,0.75661,0.02547,0.000594321,0.000594321,0.000594321
61,230.172,0.94104,0.57332,0.01322,0.87941,0.85641,0.87023,0.55869,1.33838,0.71315,0.02799,0.000580174,0.000580174,0.000580174
62,233.762,0.97695,0.57638,0.01399,0.90978,0.85655,0.89319,0.57779,1.35957,0.68666,0.02804,0.000566027,0.000566027,0.000566027
63,237.333,1.02157,0.59074,0.01567,0.98264,0.86149,0.90974,0.58935,1.32759,0.72024,0.02688,0.00055188,0.00055188,0.00055188
64,241.017,0.94351,0.60206,0.01355,0.98289,0.86039,0.90291,0.6102,1.24356,0.66763,0.02489,0.000537733,0.000537733,0.000537733
65,244.755,1.03122,0.57785,0.016,0.919,0.86754,0.90056,0.61269,1.25905,0.67389,0.02508,0.000523586,0.000523586,0.000523586
66,248.626,0.98663,0.54246,0.01407,0.93188,0.82248,0.89481,0.63493,1.26176,0.6866,0.02439,0.000509438,0.000509438,0.000509438
67,252.613,0.90815,0.56845,0.01215,0.94208,0.82291,0.86434,0.61581,1.29848,0.68457,0.02554,0.000495291,0.000495291,0.000495291
68,256.305,0.90121,0.57426,0.01249,0.85042,0.84933,0.82904,0.57418,1.28501,0.79374,0.02525,0.000481144,0.000481144,0.000481144
69,259.918,0.91352,0.5237,0.01292,0.85606,0.85641,0.84765,0.58804,1.23015,0.86004,0.02386,0.000466997,0.000466997,0.000466997
70,263.494,0.8479,0.52049,0.01211,0.91958,0.84269,0.8645,0.57103,1.21277,1.01915,0.02281,0.00045285,0.00045285,0.00045285
71,267.051,0.93612,0.49198,0.01319,0.89482,0.83077,0.86333,0.57716,1.31293,0.86489,0.02566,0.000438703,0.000438703,0.000438703
72,270.496,0.9498,0.55395,0.01396,0.97371,0.84433,0.88695,0.60225,1.23687,0.74191,0.02406,0.000424556,0.000424556,0.000424556
73,273.897,0.94748,0.55837,0.01334,0.92007,0.83576,0.89739,0.59242,1.23218,0.7398,0.02388,0.000410409,0.000410409,0.000410409
74,277.256,0.93686,0.57394,0.01285,0.8387,0.82704,0.88738,0.5898,1.24254,0.76085,0.02336,0.000396262,0.000396262,0.000396262
75,280.667,0.86544,0.4553,0.01186,0.85177,0.71814,0.80914,0.57253,1.24062,0.79538,0.02402,0.000382115,0.000382115,0.000382115
76,284.319,0.90982,0.53186,0.01279,0.93219,0.67608,0.81695,0.58481,1.20415,0.85092,0.0236,0.000367967,0.000367967,0.000367967
77,287.933,0.84168,0.44152,0.01151,0.91292,0.71599,0.83261,0.60732,1.16431,0.84507,0.02188,0.00035382,0.00035382,0.00035382
78,291.662,0.89266,0.51866,0.0124,0.89949,0.68499,0.82966,0.60075,1.13703,0.84769,0.02093,0.000339673,0.000339673,0.000339673
79,295.351,0.90189,0.58458,0.01292,0.94736,0.7921,0.85117,0.62409,1.16391,0.75828,0.02129,0.000325526,0.000325526,0.000325526
80,299.009,0.89095,0.52742,0.01255,0.92924,0.78289,0.84245,0.63068,1.17207,0.72667,0.0221,0.000311379,0.000311379,0.000311379
81,302.702,0.89839,0.53563,0.01232,0.93206,0.78852,0.84221,0.62731,1.16281,0.73555,0.02167,0.000297232,0.000297232,0.000297232
82,306.362,0.86984,0.5033,0.01138,0.98986,0.81187,0.8911,0.61699,1.1843,0.69074,0.0223,0.000283085,0.000283085,0.000283085
83,310.059,0.86684,0.49993,0.01345,0.98353,0.819,0.89321,0.61859,1.18232,0.69556,0.02223,0.000268938,0.000268938,0.000268938
84,314.031,0.88676,0.52512,0.01264,0.90957,0.84824,0.88993,0.59706,1.18481,0.70036,0.02221,0.000254791,0.000254791,0.000254791
85,317.731,0.82126,0.50295,0.01098,0.9915,0.81937,0.89658,0.61317,1.19529,0.67201,0.02244,0.000240644,0.000240644,0.000240644
86,321.56,0.83539,0.44486,0.01087,0.96695,0.80513,0.89211,0.61237,1.21311,0.69595,0.02261,0.000226497,0.000226497,0.000226497
