epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,107.358,1.01062,0.53358,0.0148,0.94585,0.91089,0.94008,0.65972,1.27151,0.50696,0.02381,0.000848969,0.000848969,0.000848969
43,109.577,1.01418,0.59475,0.01472,0.86328,0.91885,0.90324,0.62875,1.29875,0.606,0.02475,0.000834822,0.000834822,0.000834822
44,111.796,0.98508,0.56704,0.01504,0.92115,0.87179,0.92855,0.62786,1.30996,0.546,0.0251,0.000820675,0.000820675,0.000820675
45,113.927,0.97886,0.53487,0.01346,0.94551,0.88698,0.91789,0.63728,1.31339,0.64674,0.02565,0.000806528,0.000806528,0.000806528
46,116.105,0.98278,0.57749,0.01543,0.94112,0.91472,0.92183,0.6352,1.40674,0.58292,0.02946,0.00079238,0.00079238,0.00079238
47,118.2,1.02565,0.5744,0.01568,0.87879,0.82749,0.87926,0.60274,1.29888,0.6659,0.02417,0.000778233,0.000778233,0.000778233
48,120.322,1.02002,0.55916,0.01559,0.88535,0.85641,0.89516,0.63133,1.27985,0.60781,0.02369,0.000764086,0.000764086,0.000764086
49,122.482,0.99126,0.52556,0.01513,0.88798,0.85641,0.89013,0.62072,1.30087,0.67513,0.02401,0.000749939,0.000749939,0.000749939
50,124.726,1.02001,0.59963,0.01469,0.84475,0.91911,0.88562,0.62995,1.25778,0.62152,0.02442,0.000735792,0.000735792,0.000735792
51,126.874,0.93723,0.49905,0.01382,0.84542,0.91644,0.90892,0.65892,1.28106,0.61355,0.02397,0.000721645,0.000721645,0.000721645
52,129.107,0.95692,0.48488,0.01299,0.95245,0.91578,0.9234,0.60125,1.45786,0.54811,0.03004,0.000707498,0.000707498,0.000707498
53,131.279,0.94668,0.47329,0.01359,0.95215,0.92308,0.93718,0.60118,1.40783,0.4947,0.02884,0.000693351,0.000693351,0.000693351
54,133.627,0.88414,0.49315,0.01313,0.96264,0.86189,0.9265,0.63409,1.22307,0.5942,0.02397,0.000679204,0.000679204,0.000679204
55,135.919,0.93302,0.50187,0.01376,0.90001,0.92308,0.92158,0.65726,1.16017,0.55106,0.02224,0.000665057,0.000665057,0.000665057
56,137.99,0.98227,0.58599,0.01554,0.94403,0.859,0.91673,0.67318,1.20841,0.56933,0.02296,0.000650909,0.000650909,0.000650909
57,140.349,0.94621,0.47399,0.01377,0.92619,0.81927,0.89903,0.658,1.18027,0.61264,0.02261,0.000636762,0.000636762,0.000636762
58,142.639,0.88286,0.50651,0.01279,0.88371,0.84975,0.90106,0.62865,1.28793,0.64923,0.02638,0.000622615,0.000622615,0.000622615
59,144.869,0.89105,0.42286,0.01256,0.86285,0.84479,0.86546,0.65239,1.19197,0.6675,0.02231,0.000608468,0.000608468,0.000608468
60,147.137,0.89521,0.46634,0.01384,0.97255,0.85941,0.94439,0.66299,1.18438,0.54427,0.02179,0.000594321,0.000594321,0.000594321
61,149.353,0.87107,0.46525,0.01187,0.94552,0.83493,0.91178,0.67217,1.17053,0.54526,0.02153,0.000580174,0.000580174,0.000580174
62,151.574,0.8897,0.49925,0.01233,0.96353,0.89635,0.92636,0.67094,1.13552,0.54162,0.02079,0.000566027,0.000566027,0.000566027
63,153.696,0.92174,0.49237,0.01371,0.95021,0.90197,0.93484,0.67464,1.15565,0.57328,0.02162,0.00055188,0.00055188,0.00055188
64,155.97,0.86025,0.49923,0.0116,0.93829,0.88973,0.94045,0.70211,1.12492,0.49955,0.01954,0.000537733,0.000537733,0.000537733
65,158.299,0.92698,0.50795,0.01426,0.93724,0.84307,0.93177,0.68616,1.14693,0.53957,0.02008,0.000523586,0.000523586,0.000523586
66,160.35,0.86547,0.44848,0.01215,0.93027,0.84837,0.91422,0.68733,1.15264,0.52552,0.02003,0.000509438,0.000509438,0.000509438
67,162.503,0.81397,0.44715,0.01042,0.90542,0.917,0.9349,0.66352,1.20751,0.54544,0.02144,0.000495291,0.000495291,0.000495291
68,164.65,0.82747,0.47468,0.01158,0.88726,0.84933,0.91814,0.6512,1.22861,0.66566,0.02276,0.000481144,0.000481144,0.000481144
69,166.96,0.85079,0.41845,0.01197,0.8888,0.90632,0.92747,0.66292,1.20677,0.65948,0.02125,0.000466997,0.000466997,0.000466997
70,169.146,0.77192,0.38184,0.01094,0.93753,0.84029,0.9073,0.66257,1.19912,0.67977,0.02075,0.00045285,0.00045285,0.00045285
71,171.369,0.8418,0.40007,0.0119,0.93249,0.83762,0.91238,0.64844,1.22651,0.60774,0.02123,0.000438703,0.000438703,0.000438703
72,173.69,0.87105,0.44032,0.01276,0.95369,0.87143,0.93501,0.67411,1.20733,0.5544,0.02116,0.000424556,0.000424556,0.000424556
73,175.975,0.8563,0.40593,0.01175,0.92527,0.89325,0.93578,0.66848,1.18998,0.53773,0.02084,0.000410409,0.000410409,0.000410409
74,178.188,0.82306,0.44554,0.01104,0.94288,0.8233,0.92429,0.66156,1.21555,0.48999,0.02169,0.000396262,0.000396262,0.000396262
75,180.421,0.80462,0.3639,0.01085,0.92999,0.82176,0.91883,0.65884,1.20836,0.61201,0.02158,0.000382115,0.000382115,0.000382115
76,182.648,0.78306,0.4378,0.01073,0.94687,0.8898,0.92913,0.66618,1.22671,0.54289,0.02168,0.000367967,0.000367967,0.000367967
77,184.775,0.77509,0.3901,0.01037,0.95438,0.84536,0.92275,0.67069,1.24132,0.53565,0.02195,0.00035382,0.00035382,0.00035382
78,187.067,0.82758,0.43647,0.01188,0.95967,0.83323,0.92883,0.66689,1.28453,0.49263,0.02258,0.000339673,0.000339673,0.000339673
79,189.198,0.82888,0.4394,0.01176,0.94969,0.83329,0.92692,0.63895,1.2751,0.52649,0.02236,0.000325526,0.000325526,0.000325526
80,191.35,0.84909,0.42617,0.01205,0.91021,0.82692,0.90683,0.62654,1.29718,0.53597,0.02357,0.000311379,0.000311379,0.000311379
81,193.44,0.83971,0.38896,0.01146,0.89013,0.85641,0.91877,0.64361,1.2761,0.52973,0.02297,0.000297232,0.000297232,0.000297232
82,195.678,0.80919,0.45013,0.01067,0.91508,0.8524,0.92881,0.64602,1.26425,0.48939,0.02229,0.000283085,0.000283085,0.000283085
83,198.059,0.76187,0.44393,0.01152,0.91932,0.85219,0.93073,0.66639,1.24024,0.48995,0.02172,0.000268938,0.000268938,0.000268938
84,200.13,0.80438,0.40888,0.01128,0.91336,0.85544,0.91843,0.65542,1.22682,0.51837,0.02164,0.000254791,0.000254791,0.000254791
85,202.164,0.76683,0.37261,0.01021,0.92993,0.80132,0.90828,0.64021,1.23641,0.54159,0.02196,0.000240644,0.000240644,0.000240644
86,204.224,0.73146,0.35842,0.00962,0.90265,0.85022,0.91309,0.65046,1.19403,0.55446,0.02041,0.000226497,0.000226497,0.000226497
87,206.288,0.74818,0.36902,0.01032,0.9434,0.83324,0.91845,0.65291,1.18379,0.5542,0.02009,0.000212349,0.000212349,0.000212349
88,208.421,0.7662,0.37846,0.01029,0.94424,0.83312,0.91671,0.66362,1.15538,0.56181,0.01957,0.000198202,0.000198202,0.000198202
89,210.433,0.71562,0.35957,0.01014,0.94314,0.83077,0.91235,0.66345,1.16495,0.52267,0.02001,0.000184055,0.000184055,0.000184055
