epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,839.25,0.88203,0.68425,0.01294,0.75094,0.75356,0.78013,0.59195,0.996,0.8685,0.0193,0.000396265,0.000396265,0.000396265
43,858.97,0.87088,0.70192,0.01255,0.81331,0.6736,0.73617,0.55618,1.00332,1.02423,0.01967,0.000389661,0.000389661,0.000389661
44,878.586,0.86916,0.69559,0.01281,0.79222,0.68462,0.74392,0.56488,1.01208,1.00519,0.01948,0.000383058,0.000383058,0.000383058
45,898.089,0.84906,0.67198,0.01271,0.78795,0.68886,0.75515,0.58005,1.02192,0.91685,0.01931,0.000376455,0.000376455,0.000376455
46,917.601,0.86393,0.62795,0.01246,0.78464,0.68484,0.75316,0.56128,1.03326,0.97818,0.02042,0.000369851,0.000369851,0.000369851
47,937.144,0.86421,0.66417,0.01266,0.78966,0.67378,0.75402,0.57518,1.04313,0.98273,0.0201,0.000363248,0.000363248,0.000363248
48,956.64,0.8444,0.62047,0.01215,0.72862,0.71987,0.76334,0.57695,1.01797,0.99214,0.01991,0.000356645,0.000356645,0.000356645
49,976.169,0.8294,0.61831,0.01175,0.81835,0.74637,0.80074,0.59601,0.97794,0.83768,0.01864,0.000350042,0.000350042,0.000350042
50,995.858,0.81892,0.61562,0.01147,0.75917,0.74555,0.7619,0.57973,1.0008,0.97847,0.01941,0.000343438,0.000343438,0.000343438
51,1015.33,0.81824,0.59812,0.01157,0.76682,0.79198,0.78366,0.59807,0.95136,0.92339,0.01841,0.000336835,0.000336835,0.000336835
52,1034.98,0.81524,0.57635,0.01163,0.74264,0.71646,0.74985,0.56582,1.0364,0.92472,0.02019,0.000330232,0.000330232,0.000330232
53,1054.53,0.81323,0.58475,0.01165,0.80893,0.69001,0.7711,0.57891,1.00243,0.90514,0.01925,0.000323628,0.000323628,0.000323628
54,1074.1,0.8134,0.59172,0.01144,0.7239,0.71731,0.76145,0.59097,0.99277,0.97388,0.01906,0.000317025,0.000317025,0.000317025
55,1093.68,0.8028,0.56826,0.01156,0.75199,0.72269,0.76021,0.58773,0.96768,0.90667,0.01868,0.000310422,0.000310422,0.000310422
56,1113.2,0.77342,0.5441,0.01104,0.82213,0.7261,0.7787,0.59269,0.98498,0.78303,0.01905,0.000303818,0.000303818,0.000303818
57,1132.77,0.77878,0.52413,0.01099,0.72964,0.76915,0.77197,0.58609,0.96663,0.95132,0.01866,0.000297215,0.000297215,0.000297215
